x,y,c
3.867539062500000000e+02,3.382500610351562500e+02,6.263495087623596191e-01
3.970448913574218750e+02,3.059791564941406250e+02,5.921775698661804199e-01
4.029153442382812500e+02,3.177210388183593750e+02,2.692514359951019287e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.925641784667968750e+02,2.942249755859375000e+02,7.709015607833862305e-01
4.073184509277343750e+02,2.648573303222656250e+02,2.726890444755554199e-01
4.176006469726562500e+02,2.310580596923828125e+02,1.858822554349899292e-01
4.440306701660156250e+02,2.707084960937500000e+02,1.595005393028259277e-01
4.528363952636718750e+02,2.707032470703125000e+02,1.366204023361206055e-01
4.601461181640625000e+02,2.163531036376953125e+02,1.472883224487304688e-01
4.998477172851562500e+02,2.663421020507812500e+02,1.378905922174453735e-01
4.425526123046875000e+02,2.633619384765625000e+02,1.125693023204803467e-01
4.469625854492187500e+02,2.648617553710937500e+02,7.588730007410049438e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.794056701660156250e+02,3.411919250488281250e+02,2.054867595434188843e-01
3.750224304199218750e+02,3.353318786621093750e+02,5.718756318092346191e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.720840454101562500e+02,3.206089477539062500e+02,6.331613659858703613e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.057090759277343750e+02,2.677857360839843750e+02,1.208192706108093262e-01
