x,y,c
6.980724487304687500e+02,5.598061523437500000e+02,2.139225602149963379e-01
7.804970092773437500e+02,5.126657104492187500e+02,5.051246881484985352e-01
8.128444213867187500e+02,4.949585266113281250e+02,3.094649612903594971e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.510893554687500000e+02,5.272596435546875000e+02,6.458682417869567871e-01
6.980415039062500000e+02,6.274162597656250000e+02,5.449792742729187012e-01
5.979813842773437500e+02,6.509186401367187500e+02,3.161795735359191895e-01
1.060035278320312500e+03,5.685452880859375000e+02,6.251559257507324219e-01
1.039402954101562500e+03,5.832084960937500000e+02,5.032804608345031738e-01
1.045353149414062500e+03,7.980861206054687500e+02,6.331710815429687500e-01
1.148404541015625000e+03,9.835423583984375000e+02,6.613439321517944336e-01
1.077789184570312500e+03,5.568027343750000000e+02,6.211349964141845703e-01
1.098417358398437500e+03,7.952064208984375000e+02,5.194138884544372559e-01
1.148465332031250000e+03,9.806041870117187500e+02,1.206783503293991089e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.921347656250000000e+02,5.480219116210937500e+02,3.016166687011718750e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.039677734375000000e+02,5.244484863281250000e+02,5.948302745819091797e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.172039184570312500e+03,9.865125732421875000e+02,8.681777119636535645e-02
1.077774902343750000e+03,1.039415771484375000e+03,6.559317708015441895e-01
1.077668701171875000e+03,1.030572387695312500e+03,5.740145444869995117e-01
1.177816772460937500e+03,9.952734375000000000e+02,4.159916639328002930e-01
