x,y,c
7.626859741210937500e+02,3.830705871582031250e+02,9.332452416419982910e-01
8.540440063476562500e+02,4.361265563964843750e+02,8.927392363548278809e-01
8.040614624023437500e+02,4.362014770507812500e+02,8.658695816993713379e-01
7.864448852539062500e+02,5.243360595703125000e+02,9.464269280433654785e-01
7.569920654296875000e+02,6.185186767578125000e+02,8.882869482040405273e-01
9.070541992187500000e+02,4.389721679687500000e+02,7.948693037033081055e-01
9.776770019531250000e+02,5.685883178710937500e+02,8.934949636459350586e-01
1.027653564453125000e+03,6.981580810546875000e+02,9.079547524452209473e-01
9.629998168945312500e+02,5.243947753906250000e+02,7.900423407554626465e-01
9.188392944335937500e+02,5.302837524414062500e+02,7.661784887313842773e-01
8.600480957031250000e+02,6.450090332031250000e+02,9.038061499595642090e-01
8.982289428710937500e+02,8.158225708007812500e+02,8.630764484405517578e-01
1.007179382324218750e+03,5.213895263671875000e+02,7.478770017623901367e-01
9.541403198242187500e+02,6.657469482421875000e+02,9.108266830444335938e-01
9.982733764648437500e+02,8.511661376953125000e+02,8.519732952117919922e-01
7.598172607421875000e+02,3.655690307617187500e+02,5.990034341812133789e-01
7.774437866210937500e+02,3.655760803222656250e+02,9.196873903274536133e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.274528808593750000e+02,3.684146728515625000e+02,9.396710991859436035e-01
9.481116943359375000e+02,8.951925659179687500e+02,7.957744598388671875e-01
9.688161621093750000e+02,8.953009033203125000e+02,7.379819750785827637e-01
1.015916564941406250e+03,8.658319091796875000e+02,8.002575635910034180e-01
8.392875976562500000e+02,8.539874267578125000e+02,8.489595651626586914e-01
8.422132568359375000e+02,8.422207031250000000e+02,7.726460695266723633e-01
9.128615722656250000e+02,8.305204467773437500e+02,9.140284061431884766e-01
