x,y,c
9.923770141601562500e+02,5.568596191406250000e+02,8.724384903907775879e-01
1.045384277343750000e+03,6.245081176757812500e+02,9.232328534126281738e-01
1.004271179199218750e+03,6.216250000000000000e+02,8.527669310569763184e-01
1.024809936523437500e+03,6.951011962890625000e+02,6.996060609817504883e-01
1.030626464843750000e+03,7.510198364257812500e+02,5.530956387519836426e-01
1.083650878906250000e+03,6.274394531250000000e+02,8.164625167846679688e-01
1.124838012695312500e+03,7.216202392578125000e+02,8.367578387260437012e-01
1.160027221679687500e+03,8.158853759765625000e+02,8.256553411483764648e-01
1.092435546875000000e+03,7.363312988281250000e+02,8.458186984062194824e-01
1.068812133789062500e+03,7.332991943359375000e+02,8.101454973220825195e-01
9.923037719726562500e+02,8.068721313476562500e+02,8.730888366699218750e-01
1.045320434570312500e+03,9.071719970703125000e+02,8.961722850799560547e-01
1.116072509765625000e+03,7.393481445312500000e+02,8.285200595855712891e-01
1.027687133789062500e+03,8.158486328125000000e+02,8.946987390518188477e-01
1.092487548828125000e+03,9.334552001953125000e+02,8.851340413093566895e-01
9.952647094726562500e+02,5.508671264648437500e+02,4.971919059753417969e-01
1.001273864746093750e+03,5.510080566406250000e+02,9.502400755882263184e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.042291625976562500e+03,5.655684814453125000e+02,8.620031476020812988e-01
1.048380004882812500e+03,9.629120483398437500e+02,8.385632038116455078e-01
1.068902709960937500e+03,9.688609619140625000e+02,8.196898698806762695e-01
1.110049682617187500e+03,9.481068725585937500e+02,8.077984452247619629e-01
1.004114440917968750e+03,9.364675903320312500e+02,8.251624703407287598e-01
1.004233520507812500e+03,9.305262451171875000e+02,8.063219785690307617e-01
1.051338256835937500e+03,9.216523437500000000e+02,7.840617895126342773e-01
