x,y,c
1.321949340820312500e+03,3.213203430175781250e+02,9.303646087646484375e-01
1.333883056640625000e+03,3.948897705078125000e+02,9.226807355880737305e-01
1.280813476562500000e+03,3.919102478027343750e+02,9.316861629486083984e-01
1.233651367187500000e+03,4.360900878906250000e+02,8.996669650077819824e-01
1.186730102539062500e+03,4.507516479492187500e+02,8.937710523605346680e-01
1.395499389648437500e+03,3.978977355957031250e+02,8.618535995483398438e-01
1.377926635742187500e+03,4.567800292968750000e+02,8.715771436691284180e-01
1.301469726562500000e+03,4.390495910644531250e+02,7.329785227775573730e-01
1.316177734375000000e+03,5.479853515625000000e+02,7.706614732742309570e-01
1.283792236328125000e+03,5.450475463867187500e+02,7.634620666503906250e-01
1.263159423828125000e+03,6.980935058593750000e+02,8.709344267845153809e-01
1.263123291015625000e+03,8.393163452148437500e+02,8.869719505310058594e-01
1.348581542968750000e+03,5.509078369140625000e+02,7.628107070922851562e-01
1.327886230468750000e+03,7.009755249023437500e+02,8.949618339538574219e-01
1.327920776367187500e+03,8.334721069335937500e+02,9.043515920639038086e-01
1.313278686523437500e+03,3.124794616699218750e+02,9.229971766471862793e-01
1.333740356445312500e+03,3.125253906250000000e+02,9.444707632064819336e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.360373046875000000e+03,3.213923645019531250e+02,9.232399463653564453e-01
1.310209594726562500e+03,8.569733886718750000e+02,7.737276554107666016e-01
1.327904296875000000e+03,8.570238037109375000e+02,7.742288112640380859e-01
1.330763671875000000e+03,8.451663818359375000e+02,7.494716644287109375e-01
1.227903564453125000e+03,8.540377807617187500e+02,7.197364568710327148e-01
1.227889038085937500e+03,8.481147460937500000e+02,7.065113782882690430e-01
1.271956909179687500e+03,8.539755249023437500e+02,8.574017286300659180e-01
